SARL_plateID,Expt_ID,Chemical_name,Microbiome_treat,BaP_uM,Sample,Extract_batch,Expt_plateID,Sample_well,Sample_row,Sample_col,Tube,CD1,Dissector,Dissect_result
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1A04,6,1,A04,A,4,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1C04,6,1,C04,C,4,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E04,6,1,E04,E,4,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G04,6,1,G04,G,4,Lot163,Lot663,Kristin,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2A04,6,2,A04,A,4,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2D04,6,2,D04,D,4,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E03,6,2,E03,E,3,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2G03,6,2,G03,G,3,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3A03,6,3,A03,A,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3C03,6,3,C03,C,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3E03,6,3,E03,E,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3G03,6,3,G03,G,3,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4A03,6,4,A03,A,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4C03,6,4,C03,C,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4E03,6,4,E03,E,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4G03,6,4,G03,G,3,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5A03,6,5,A03,A,3,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5C03,6,5,C03,C,3,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5E03,6,5,E03,E,3,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5G03,6,5,G03,G,3,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6A03,6,6,A03,A,3,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6C03,6,6,C03,C,3,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6E03,6,6,E03,E,3,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6G03,6,6,G03,G,3,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1B05,7,1,B05,B,5,Lot163,Lot663,Keaton,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1D05,7,1,D05,D,5,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1F05,7,1,F05,F,5,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H05,7,1,H05,H,5,Lot163,Lot663,Kristin,partial
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C05,7,2,C05,C,5,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E04,7,2,E04,E,4,Lot163,Lot663,Keaton,partial
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E05,7,2,E05,E,5,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2G04,7,2,G04,G,4,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H05,7,2,H05,H,5,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3A04,7,3,A04,A,4,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3C04,7,3,C04,C,4,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3F04,7,3,F04,F,4,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3H04,7,3,H04,H,4,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4B04,7,4,B04,B,4,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4D04,7,4,D04,D,4,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4F04,7,4,F04,F,4,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4H04,7,4,H04,H,4,Lot663,Lot163,Kristin,partial
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5B04,7,5,B04,B,4,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5D04,7,5,D04,D,4,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5G04,7,5,G04,G,4,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6A04,7,6,A04,A,4,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6D04,7,6,D04,D,4,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6F04,7,6,F04,F,4,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6H04,7,6,H04,H,4,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1A05,8,1,A05,A,5,Lot163,Lot663,Keaton,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1C05,8,1,C05,C,5,Lot163,Lot663,Keaton,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E05,8,1,E05,E,5,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G05,8,1,G05,G,5,Lot163,Lot663,Kristin,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2A05,8,2,A05,A,5,Lot163,Lot663,Keaton,partial
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2D05,8,2,D05,D,5,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2F04,8,2,F04,F,4,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2G05,8,2,G05,G,5,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H04,8,2,H04,H,4,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3A05,8,3,A05,A,5,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B04,8,3,B04,B,4,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3E04,8,3,E04,E,4,Lot163,Lot663,Austin,partial
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3G04,8,3,G04,G,4,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4A04,8,4,A04,A,4,Lot663,Lot163,Kristin,partial
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4C04,8,4,C04,C,4,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4E04,8,4,E04,E,4,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4G04,8,4,G04,G,4,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5A04,8,5,A04,A,4,Lot663,Lot163_1,Keaton,partial
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5C04,8,5,C04,C,4,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5E04,8,5,E04,E,4,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5H04,8,5,H04,H,4,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6B04,8,6,B04,B,4,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6E04,8,6,E04,E,4,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6G04,8,6,G04,G,4,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1C06,9,1,C06,C,6,Lot163,Lot663,Michael,whole
