chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48
1174,50,18312,E03,P98234,0,15.321190625,0,13.107642,0,0,0,0,0,1.302084375,18.48958625,0,0,20.3342275,0,0,10.93749375,0,0,18.5112625,0,0,1.47569375,5.9461784375,0,19.4227465625,0,10.720477625,0,0,0,0,17.534724375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,F03,P98234,0,7.8776040625,0.5859365625,0,0,0,6.076395125,9.678824375,0,5.6640634375,1.86631875,0,0,2.886285,6.38020575,0,0,15.12587,0.694443125,0,0,0,0,8.224825,0,0,10.0260571875,0.021701375,0,1.64930625,0.108506875,0,0,11.3498340625,15.364595625,24.17536625,5.3819473125,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G03,P98234,0,0,23.9366375,2.12673825,0,0,0,0,22.3741090625,0,13.650168125,0,19.162326375,7.3133725,0,0,0,0,0,20.0520690625,0,21.8967034375,0,0,0,0,22.743057,0,0,0,21.7230875,0,10.980903125,52.235269625,4.861100625,0,0,41.71006875,11.393218125,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H03,P98234,0,0,23.6762125,0,0,0,0,0,12.326398125,0,0,12.9991286875,22.460953125,0.21701375,0,0,0,0,0,16.818568125,1.77951625,0.282118125,28.9279571875,25.9983,0,0,0,0,0,0,0,0,0,6.11979125,0,6.879327,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A04,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B04,P98234,0,0,0,0,0,0.2604165625,0,0,0,0,0.0651040625,0,2.235242,0.28211775,1.4105895,0.086805625,2.0833334375,0,2.799483125,0.3038195,0,0.78125,0,0,0,0.21701375,0.325521875,0,0,0.1736109375,0.629340625,0.4340279375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,C04,P98234,0,2.2569446875,0,0,0,0,3.125,0,0,0,1.497396875,0,0,0,0,2.430553125,0,0,0.9765625,0.0651041875,0,0,0,0,0,2.40885625,0,0,0.78125,0,0,0,1.931421875,0,2.3437498125,0.41232625,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D04,P98234,0,5.70746375,0,0,0.021701375,0,0,6.2065965625,1.6059045,0,0,0,0,0.9982625,8.65885625,0,0,0.6293415625,2.669271875,0,1.627603125,9.2447884375,0,0,0,0,5.316844375,0,0,0,0.0434028125,5.4253440625,0,27.4305625,17.8602456875,0.6293415625,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0
1174,50,18312,E04,P98234,0,6.901042,0,0,0,0,7.183159375,0,0,0,0,0,0.195312625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,F04,P98234,0,0,0,0,0,0,5.9027771875,0,0,0,12.26127625,0,0,0,0,0,10.1128434375,0,0,0,0,12.82554375,0,0,0,0,0,6.2934053125,0.086805625,0.021701375,0.021701375,0,0,7.964409375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G04,P98234,0,0.7595478125,0,0,0,0.1953125,0,0,0,0.8029525,0,0,0,0.6510415625,0,0,0,1.5625025,1.2152790625,0,0,0,0,0,1.8229178125,0,0,0.69444375,0.7161448125,0,0,0,0,0,1.45399375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H04,P98234,0,2.647565625,0.564236,0,0,6.0546866875,0,0,0,0,6.4887125,0.542534375,0,0.17361125,5.099828125,0,0,0.0651040625,3.168401875,4.4704823125,0,0,0,0,0.4991321875,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A05,P98234,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,C05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,E05,P98234,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0.021701375,0,0.021701375,0,0,0.1302084375,0,0,0.04340275,0,0,0,0,0,0,0.04340275,0,0.021701375,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,F05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H05,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B06,P98234,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,C06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,E06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
1174,50,18312,F06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G06,P98234,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H06,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A07,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B07,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,C07,P98234,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
