chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
1174,50,18206,E08,C43518,0,1.953123438,0,0,4.101563875,0.520834375,0,8.745654375,0.021701375,0,0,0,0,0,0,5.143216688,0,12.58681906,0,0,12.06598606,0,0,0,6.141479938,0,0,0,0,0,9.613724063,0.564235938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,F08,C43518,0,7.703999063,0,7.291669688,0,0,6.032984375,2.539063875,0,0,0,15.84202188,0.390625,0,0,0,0,0,0,0,0,0,8.420152,0,0,0,5.186634063,0.998263125,0,16.38456656,0,0,0,26.36718438,32.68232031,15.55989031,2.473957188,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G08,C43518,0,0,0,0,3.92795125,0.1953125,0,0,0,0,0,0,0,0,0,0,0,0,7.942702625,0.151909688,0,0,0,0,0,0,0,0,0,0,0,0,8.311644688,0.086805438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H08,C43518,0,0,0,0,0,0,0,0,0,12.56508438,10.30815656,0.499132188,0,0,0,0,0,0,16.21093063,0,0,0,0,0,0,0,8.07293125,5.59894575,0,0,0,0,0,15.77690313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,A09,C43518,0,13.78039281,2.387153125,0,0,0,12.0442875,0,0,10.76388969,0.390626375,0,0,0,0,13.38975,0.542534375,0,0,3.6892325,7.183161563,9.657115625,0.130208438,0,0,24.11024063,3.75434025,0,0,0,0,4.4921875,14.95224625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B09,C43518,0,0,0,0,0,0,0,0,11.50173731,0.238715313,0,0,0,0,0,0,0,0,0,1.888021875,0.629340438,9.0928645,0.629339,0,0,0,0,0,0,0,0,0,0,2.213541688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C09,C43518,0,0,0,0,0,0,0,0,0,0,13.41145656,0,0,0,0,0,0,0,0,14.06248625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D09,C43518,0,0,0,0,0,0,0,25.26041356,0,0,0,0,22.07032188,1.866317,0,9.092887813,2.84288125,0,0,21.6362875,3.146699688,0,0,0,16.62325406,0,0.021701375,11.45833125,9.3099,0,9.353283125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E09,C43518,0,14.47480063,0,0,0,0,8.6805625,3.993054063,0,0,0,0,13.12935625,0.564235938,0,0,0,12.67360625,0.412325,0,3.168401875,3.168404063,0,0,12.26128169,0,0,0,0,13.12934338,0,0,0.412325,11.91406344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,F09,C43518,0,0,0,0,0,0,0,11.65365625,10.09115625,0,0,0,0,0,0,0,0,0,0,0,0,18.72829938,0,5.42534375,15.6683875,0,0,0,0,0,0,0,0,0,0,0,4.253461875,14.62673438,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G09,C43518,0,1.5842,0,0,0,0,0,0,16.03732731,0,0,0,0,0,0,0,0,0,19.85675844,0,0,0,0,0,0,11.00259375,4.3185745,0,0,0,9.48353125,7.899309063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H09,C43518,0,0.021701375,19.92186875,1.3454875,0,0,0,0,21.87501313,0,0,0,0,0.043402813,17.94702813,0,0,0,23.56771875,0,0,0,0,0,0,8.181425,0.54253375,15.69009431,0,0,0,0,0,12.28296875,26.82292294,20.74652313,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0
1174,0,18206,A10,C43518,0,0,0,0,0,15.14755688,0,0,0,0,0,10.9591875,6.18489875,0,0,0,0,0,17.18750188,0,0,0,0,0,0,0,0,0,0,8.11631875,0,15.23436563,0.043402813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B10,C43518,0,0,0,0,0,0,0,5.8810695,0,0,0,0,0,0,0,0,0,0,0,6.011283438,0,0,0,0,13.36807313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C10,C43518,0,0,4.427082625,0.260416563,0,14.97394375,0.607637625,0,0,0,4.94791875,0.347221875,0,0,15.49478188,0,0,0,4.62239375,0,17.16578688,0,0,6.098088125,0,0,0,10.98090625,3.776040938,0,0,0,0,0,0,0,5.295138875,16.01565344,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D10,C43518,0,7.66059375,0,0,0,0,0,0,0,7.052953563,0.065104063,0,0,0,0,0,9.09286875,0.520833438,0,0,0,0,0,6.336808875,0,0,0,0,0,0,0,0,0,0,7.617186563,0.846355125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E10,C43518,0,0.108506875,0,0,0,0,0,0,0,0,0,0,4.34028125,12.06597919,0,0,0,14.32293625,0,0,0,0,0,0,0,0,0,0,15.16927375,0,0,0,7.98610625,6.5755125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,F10,C43518,0,0,0,0,0,0,3.016493438,0,0,0,6.33679125,0,0,0,9.0060525,0.108506875,0,0,0,0,0,2.907988125,0.282118063,0,2.23524375,1.562499375,5.3385425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G10,C43518,0,4.92621375,0,0,14.97397688,0,0,0,0,0,0,0,16.796875,0,4.014756875,10.93751594,0,0,0,0,4.991320125,0,13.58506313,0.49913125,5.013022188,0.043402813,0,0,0,14.30122781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H10,C43518,0,0,0,0,0,0,9.917537813,0,0,0,0,0,0,0,0,2.864584375,7.942705938,0,0,0,0,0,8.8541625,0.086805625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,A11,C43518,0,0,0,0,0,0,19.35765106,0,0,0,0,0,0,0,16.99219063,4.55729,0,0,0,0,0,0,0,19.943575,0,0,0,21.39758438,0,0,0,0,19.87847594,7.63889625,29.53560563,6.249993125,2.170141063,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B11,C43518,0,0,0,0,8.138006875,2.62586825,19.72657281,0,0,0,0,0,10.37325794,0,0,20.39930313,0,0,11.56683313,0,0,0,22.43923219,0,10.82898669,0,0,0,0,17.90366563,1.90972375,0,9.353288563,3.385415688,53.34198125,25.73782781,1.627603688,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C11,C43518,0,14.60504888,0,0,0,0,0,0,0,0,13.51999325,0,0,0,0,0,0,17.96876875,0.108506875,0,11.97917188,1.88802125,0,12.52169075,0,0,0,9.635409375,3.038196063,0,8.96267,0.716146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D11,C43518,0,0,4.427083438,0.108506875,0,0,0,9.678805938,1.2152775,0,0,0,0,0,0,0,0,0,0,0,4.578993438,0,3.776044063,0,0,0,0,4.101563563,0,0,0,0,0,0,9.309891563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E11,C43518,0,0,0,0,4.774303375,5.42536125,5.794285,0,0,0,0,0,0,0,0,10.35155438,0,0,0,0,0.021701375,0,0,9.960925,0.130208375,0,10.41667763,0,5.1866315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.767356063
1174,50,18206,F11,C43518,0,0,5.295134188,0,0,0,0,0,0,0,13.3897375,2.71267575,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84201875,3.038196875,2.734375625,0,0,9.61370625,6.293401375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G11,C43518,0,0,0,0,0,0,4.600695625,0,0,0,12.89061344,0,0,0,0,0,0,0,0,0,0,17.70834938,0,0,0,0,0,0,0,0,5.381943125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0
