"conc","well","chemical.id","plate.id","Interval","Movement"
" 0","A03","1174","19843","E",0
" 0","A04","1174","19843","E",0.308641902777778
" 0","A05","1174","19843","E",0
" 0","A06","1174","19843","E",0
" 0","A07","1174","19843","E",0.0964506875
" 0","A10","1174","19843","E",0.901813034722222
" 0","A12","1174","19843","E",0.409914930555556
" 0","B02","1174","19843","E",0.311053347222222
" 0","B03","1174","19843","E",0.807773819444444
" 0","B04","1174","19843","E",0
" 0","B06","1174","19843","E",0.684799354166667
" 0","B07","1174","19843","E",0.757137152777778
" 0","B08","1174","19843","E",0.684798104166667
" 0","B09","1174","19843","E",2.17495997222222
" 0","B10","1174","19843","E",0.581115347222222
" 0","B11","1174","19843","E",0.805362659722222
" 0","B12","1174","19843","E",0.260416819444444
" 0","A01","1174","19902","E",20.2594536597222
" 0","A03","1174","19902","E",0
" 0","A04","1174","19902","E",0.0217013819444444
" 0","A05","1174","19902","E",0.2724733125
" 0","A06","1174","19902","E",2.88146289583333
" 0","A07","1174","19902","E",0
" 0","A08","1174","19902","E",0.0434027916666667
" 0","A09","1174","19902","E",0
" 0","A10","1174","19902","E",0.0120563333333333
" 0","A11","1174","19902","E",0.120563229166667
" 0","A12","1174","19902","E",0
" 0","B01","1174","19902","E",0
" 0","B02","1174","19902","E",0.409915006944444
" 0","B03","1174","19902","E",0
" 0","B04","1174","19902","E",0.783661416666667
" 0","B05","1174","19902","E",0
" 0","B06","1174","19902","E",0.115740604166667
" 0","B07","1174","19902","E",1.29002727777778
" 0","B08","1174","19902","E",0
" 0","B09","1174","19902","E",0.860821680555556
" 0","B10","1174","19902","E",0.202546
" 0","B11","1174","19902","E",0.161554673611111
" 0","B12","1174","19902","E",0
" 0","A01","1174","19903","E",0.057870375
" 0","A02","1174","19903","E",0.185667479166667
" 0","A03","1174","19903","E",0.455729243055556
" 0","A04","1174","19903","E",0.747492395833333
" 0","A05","1174","19903","E",0.238715305555556
" 0","A06","1174","19903","E",0.142264736111111
" 0","A07","1174","19903","E",0.600404909722222
" 0","A08","1174","19903","E",3.57108433333333
" 0","A09","1174","19903","E",0
" 0","A10","1174","19903","E",2.05922219444444
" 0","A11","1174","19903","E",0.0868054444444444
" 0","A12","1174","19903","E",0
" 0","B01","1174","19903","E",0
" 0","B02","1174","19903","E",2.2400655
" 0","B03","1174","19903","E",0
" 0","B04","1174","19903","E",2.92727996527778
" 0","B05","1174","19903","E",0.477430659722222
" 0","B07","1174","19903","E",2.61622436111111
" 0","B08","1174","19903","E",0
" 0","B09","1174","19903","E",0.412326493055556
" 0","B10","1174","19903","E",0.142264534722222
" 0","B11","1174","19903","E",0
" 0","B12","1174","19903","E",0
" 0","A01","1174","19737","R",0
" 0","A02","1174","19737","R",0
" 0","A03","1174","19737","R",0
" 0","A04","1174","19737","R",0
" 0","A05","1174","19737","R",0
" 0","A06","1174","19737","R",1.0118259375
" 0","A07","1174","19737","R",0.5371093359375
" 0","A08","1174","19737","R",0.002712671875
" 0","A09","1174","19737","R",0.002712671875
" 0","A10","1174","19737","R",0
" 0","A11","1174","19737","R",0
" 0","A12","1174","19737","R",0.6293403046875
" 0","B01","1174","19737","R",0
" 0","B02","1174","19737","R",0
" 0","B03","1174","19737","R",0.002712671875
" 0","B04","1174","19737","R",0.002712671875
" 0","B05","1174","19737","R",0
" 0","B06","1174","19737","R",0.002712671875
" 0","B07","1174","19737","R",0
" 0","B08","1174","19737","R",1.9748255625
